"ncbi_gene_id","ensembl_gene_id"
"C2CD2L","ENSTGUG00000000001"
"DPAGT1","ENSTGUG00000000002"
"EGR1","ENSTGUG00000000003"
"PIAS2","ENSTGUG00000000006"
"KDM3B","ENSTGUG00000000007"
"LOC100218573","ENSTGUG00000000008"
"HMBS","ENSTGUG00000000010"
"KATNAL2","ENSTGUG00000000013"
"LOC115490894","ENSTGUG00000000015"
"SMAD2","ENSTGUG00000000016"
"VPS11","ENSTGUG00000000018"
"KLHL33","ENSTGUG00000000020"
"LOC100224313","ENSTGUG00000000022"
"RANBP3","ENSTGUG00000000023"
"BCL9L","ENSTGUG00000000025"
"CCDC84","ENSTGUG00000000027"
"ZBTB7C","ENSTGUG00000000028"
"TRAPPC4","ENSTGUG00000000029"
"CTIF","ENSTGUG00000000030"
"GFRA3","ENSTGUG00000000031"
"LOC100224299","ENSTGUG00000000032"
"SMAD7","ENSTGUG00000000034"
"DYM","ENSTGUG00000000035"
"CDC23","ENSTGUG00000000037"
"LONP1","ENSTGUG00000000038"
"HYOU1","ENSTGUG00000000039"
"JAKMIP2","ENSTGUG00000000040"
"CHPF2","ENSTGUG00000000042"
"CZH18orf32","ENSTGUG00000000043"
"RPL17","ENSTGUG00000000044"
"LOC100225528","ENSTGUG00000000046"
"DPYSL3","ENSTGUG00000000047"
"RPL36","ENSTGUG00000000049"
"PHLDB1","ENSTGUG00000000050"
"LMNB2","ENSTGUG00000000051"
"MYO5B","ENSTGUG00000000053"
"ASB10","ENSTGUG00000000054"
"AGAP3","ENSTGUG00000000055"
"TMPRSS9","ENSTGUG00000000057"
"ACAA2","ENSTGUG00000000058"
"IFT46","ENSTGUG00000000059"
"TMEM25","ENSTGUG00000000060"
"LIPG","ENSTGUG00000000061"
"STK32A","ENSTGUG00000000062"
"SPPL2B","ENSTGUG00000000063"
"TTC36","ENSTGUG00000000064"
"KMT2A","ENSTGUG00000000065"
"FASTK","ENSTGUG00000000066"
"PPP2R2B","ENSTGUG00000000069"
"CERS4","ENSTGUG00000000070"
"LOC100231488","ENSTGUG00000000071"
"LOC100223824","ENSTGUG00000000072"
"SLC4A2","ENSTGUG00000000073"
"ATP5MG","ENSTGUG00000000076"
"TCERG1","ENSTGUG00000000079"
"MARCHF2","ENSTGUG00000000080"
"LNPEP","ENSTGUG00000000082"
"UBE4A","ENSTGUG00000000083"
"RBM27","ENSTGUG00000000085"
"ANGPTL4","ENSTGUG00000000086"
