nTargets	NumbOri	DistanceTN	DistanceTB	ProOriBL	SumOriBL	ProTerBL	SumTerBL	TV_1	TV_2	TV_3	TV_4	TV_C	TV_D	TV_A	ctrl
FALPE,CARCR,TYTAL,HALLE,HALAL,CATAU	4	0.2798	0.0489	5.657850000000001e-07	0.20070000000000002	9.366570675000001e-12	0.2309	0	2	0	4	2	4	6	0
CALAN,CHLUN,CUCCA,MELUN,NESNO,TAUER	3	0.5602	0.0917	6.54E-06	0.1665	1.60E-07	0.4685	0	0	2	6	0	8	8	1
ANAPL,CALAN,GALGA,MELGA,MELUN,NESNO	3	0.6722	0.2748	0.000234244	0.2048	4.87E-08	0.3974	1	11	11	92	12	103	115	1
CALAN,COLLI,MELUN,MESUN,NESNO,PTEGU	3	0.5635	0.0953	8.32E-06	0.1668	1.66E-07	0.4682	0	0	0	9	0	9	9	1
BALRE,CALAN,CHAVO,MELUN,NESNO,OPHHO	3	0.4976	0.0916	5.35E-06	0.1663	7.19E-08	0.406	0	0	0	1	0	1	1	1
APTFO,CALAN,FULGL,MELUN,NESNO,PYGAD	3	0.3887	0.117	7.13E-06	0.1666	1.39E-09	0.2717	0	0	0	1	0	1	1	1
CALAN,CATAU,HALAL,HALLE,MELUN,NESNO	3	0.38	0.1347	1.19E-05	0.1674	9.16E-12	0.2453	2	2	1	14	4	15	19	1
BUCRH,CALAN,MELUN,MERNU,NESNO,PICPU	3	0.6595	0.1002	1.49E-05	0.1679	4.08E-07	0.5593	0	4	2	15	4	17	21	1
CALAN,EGRGA,MELUN,NESNO,NIPNI,PELCR	3	0.4491	0.0983	5.95E-06	0.1664	2.58E-08	0.3508	0	0	0	4	0	4	4	1
PELCR,EGRGA,NIPNI,PHACA,FULGL,PYGAD,APTFO,GAVST,PHALE,EURHE,CHAVO,BALRE,PHORU,PODCR,ANAPL	4	0.8915	0.1258	2.3470199999999996e-09	0.11599999999999999	4.692898030794141e-21	0.7657	0	0	0	0	0	0	0	0
CALAN,CHLUN,CORBR,GEOFO,TAEGU,TAUER	3	0.5295	0.1553	6.94E-06	0.158	3.51E-08	0.3742	0	5	0	22	5	22	27	1
CALAN,CORBR,GALGA,GEOFO,MELGA,TAEGU	3	0.6527	0.3384	0.000560343	0.2697	1.19E-08	0.3143	17	40	12	201	57	213	270	1
CALAN,CORBR,GEOFO,MESUN,PTEGU,TAEGU	3	0.548	0.1589	1.34E-05	0.1593	4.23E-08	0.3891	2	8	1	33	10	34	44	1
CALAN,CORBR,GEOFO,PHORU,PODCR,TAEGU	3	0.4877	0.1678	6.44E-05	0.1696	1.23E-08	0.3199	0	5	1	26	5	27	32	1
CALAN,CORBR,GEOFO,STRCA,TAEGU,TINMA	3	0.7214	0.2771	0.000225921	0.2022	6.67E-08	0.4443	0	19	10	154	19	164	183	1
BALRE,CALAN,CHAVO,CORBR,GEOFO,TAEGU	3	0.5028	0.1552	7.43E-06	0.1581	2.33E-08	0.3476	0	1	0	16	1	16	17	1
CALAN,CORBR,GEOFO,HALAL,HALLE,TAEGU	3	0.4307	0.1983	0.000211553	0.1993	7.45E-12	0.2324	1	9	2	63	10	65	75	1
ANAPL,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5713	0.2528	0.000233017	0.1971	1.48E-08	0.3185	1	12	4	80	13	84	97	1
APAVI,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5017	0.1787	0.000243471	0.2016	1.55E-08	0.323	2	10	3	81	12	84	96	1
APTFO,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4351	0.206	2.53E-05	0.1077	1.61E-09	0.2291	0	3	0	11	3	11	14	1
BALRE,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.457	0.1817	0.000132655	0.1539	8.44E-09	0.2753	0	11	2	32	11	34	45	1
BUCRH,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4992	0.1812	0.000231855	0.1966	1.47E-08	0.318	1	11	6	80	12	86	98	1
CALAN,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5364	0.2056	0.000261592	0.2094	1.66E-08	0.3308	3	22	6	123	25	129	154	0
CAPCA,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4731	0.1852	0.000161927	0.1665	1.03E-08	0.2879	3	8	1	55	11	56	67	1
CARCR,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4458	0.1726	0.000127776	0.1518	8.13E-09	0.2732	0	9	4	28	9	32	41	1
CATAU,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4252	0.1769	6.99E-05	0.1269	4.45E-09	0.2483	1	2	6	21	3	27	30	1
CHAPE,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5146	0.2056	0.000210947	0.1876	1.34E-08	0.309	3	23	6	107	26	113	139	0
CHAVO,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4601	0.1817	0.000139857	0.157	8.90E-09	0.2784	0	13	5	34	13	39	52	1
CHLUN,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4752	0.1839	0.000169826	0.1699	1.08E-08	0.2913	1	3	4	52	4	56	60	1
COLLI,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4982	0.1837	0.000223724	0.1931	1.42E-08	0.3145	2	17	10	102	19	112	131	1
COLST,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5148	0.1761	0.000279946	0.2173	1.78E-08	0.3387	3	15	7	97	18	104	122	1
