"","iCSAV","dCSAV","CSAV","iCSCV","dCSCV","CSCV","iCSNV","dCSNV","CSNV","POB","PTB","DTN","DTB"
"iCSAV",NA,4.78233662897793e-24,4.35505763611544e-27,1.70189848468781e-25,3.17948689992286e-22,4.05173018983442e-23,5.00361927797789e-29,2.40203038853489e-21,9.47369546001277e-27,2.52718748254207e-17,0.0115412237014641,0.00456237712133908,0.00395687606643814
"dCSAV",0.905775055243813,NA,2.12864133126563e-71,1.00448937400671e-30,5.41786657935068e-53,2.6923336167839e-53,6.73134740237243e-35,2.24476693208386e-40,1.11088770888591e-46,1.18738300138402e-26,0.00795141886705863,0.000122853179650927,2.0305383359656e-05
"CSAV",0.926123210039179,0.997619387087163,NA,4.34693610084015e-33,7.77933252238502e-50,8.38291102355088e-52,4.37546248939337e-38,1.53631286271039e-40,3.53408311615768e-51,3.16985063074292e-26,0.00785106164627197,0.000196118298360495,3.88652685322481e-05
"iCSCV",0.916115107461121,0.944614069596837,0.954011210943518,NA,9.46067325045313e-31,4.92378872143877e-33,4.54524714241624e-49,3.91566695837959e-26,1.53195144062595e-35,1.64209759420993e-20,0.00808924434742637,0.00042781066324155,0.000652858072043486
"dCSCV",0.890827989087757,0.99018869518546,0.987482531006149,0.944727598328069,NA,4.24517257849431e-78,3.55285658359459e-34,3.0248776131721e-38,1.83227185407882e-43,1.55372635841877e-25,0.00809775653647823,6.74216545747475e-05,1.20380459495837e-05
"CSCV",0.898455213516277,0.990415772476761,0.989245965633113,0.953815474488064,0.998577167385397,NA,1.00730071952198e-36,1.32639366824584e-38,1.00318090180169e-46,0,0.00886886270702462,0.000110007764428982,2.28290329661259e-05
"iCSNV",0.936665805876973,0.960092437784055,0.968882594010644,0.986719134362789,0.957770229713258,0.96539592367207,NA,6.91308275822344e-28,2.59911349405354e-41,1.40672671242274e-21,0.00687918290607574,0.00040376144964228,0.000335265074931511
"dCSNV",0.882748480646749,0.973960695389267,0.974291805651272,0.920286538847946,0.969268772231682,0.970113760457019,0.930672140939122,NA,1.01114666203163e-46,2.86139142684606e-23,0.0037876155104703,0.000124267985129493,0.000157400671068057
"CSNV",0.924110335465763,0.98402721112232,0.98871479953843,0.962049128040549,0.979509603445535,0.984081827397291,0.975787348161134,0.984077598475195,NA,1.34524835666128e-24,0.00589650769375726,0.000275528752511407,0.000210906587475117
"POB",0.836612900960372,0.923514849493591,0.920868389913418,0.874475770070349,0.916380211938245,0.912971217043137,0.884946263366064,0.89968643340094,0.909855696882592,NA,0.0622377233736851,0.0149570329658666,3.74090729601347e-05
"PTB",0.3188539151862,0.334126785908043,0.334634566698927,0.333438465516636,0.333396290798055,0.331016594898139,0.339869570559677,0.362489150094432,0.34586807744413,0.238397421369394,NA,0,0.0470381751039703
"DTN",0.355605918076567,0.468507969686362,0.455926060130254,0.433797646898892,0.483964794664025,0.476366749767067,0.435491754519885,0.468205706480113,0.446465011708028,0.308705396489638,0.720732290801038,NA,0.402109953968724
"DTB",0.360885493343415,0.5128166403609,0.497531486303933,0.421146264046347,0.524613702413755,0.510112082389018,0.440876316614655,0.461902785469498,0.453925989945576,0.498451082381804,-0.253242667543279,0.108298704170671,NA
