Targets	N.A	HumanOrtho	HumanTAAS	HumanTAAS.HumanOrtho	HumanOrtho_inTAASc	HumanTAAS_inTAASc	HumanTAAS.HumanOrtho_inTAASc	Types					
Human	N.A	18563	11315	60.95458708				1_Human					
AOTNA	N.A	13050	300646	70.29356316				2_Non-human					
CALJA	N.A	14023	288867	75.53460813				2_Non-human					
CARSY	N.A	13700	817200	73.79477511				2_Non-human					
CEBCA	N.A	12973	228094	69.8788042				2_Non-human					
CERAT	N.A	8566	144182	46.14058713				2_Non-human					
CHLSA	N.A	11606	263370	62.51548613				2_Non-human					
COLAN	N.A	11881	209451	63.99676811				2_Non-human					
GORGO	N.A	11752	192450	63.3019122				2_Non-human					
MACFA	N.A	5086	95315	27.39563695				2_Non-human					
MACMU	N.A	7706	233217	41.50821438				2_Non-human					
MACNE	N.A	7544	135766	40.63560463				2_Non-human					
MANLE	N.A	8941	229676	48.1605171				2_Non-human					
MICMU	N.A	13221	419959	71.21465123				2_Non-human					
NOMLE	N.A	13977	434213	75.28683006				2_Non-human					
OTOGA	N.A	14730	711742	79.34284945				2_Non-human					
PANPA	N.A	8116	164930	43.71667116				2_Non-human					
PANTR	N.A	6680	97892	35.98168597				2_Non-human					
PAPAN	N.A	9215	137480	49.6364126				2_Non-human					
PONAB	N.A	13541	434115	72.9383248				2_Non-human					
PROCO	N.A	13474	473713	72.57743065				2_Non-human					
RHIBI	N.A	8177	312684	44.04524643				2_Non-human					
RHIRO	N.A	7112	172928	38.3086453				2_Non-human					
SAIBO	N.A	13213	287315	71.17155939				2_Non-human					
0.TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN	141	125	107	85.6	23	18	78.26087	3_AvianVocalLearners					
0.APAVI,CALAN,CHAPE,CAPCA,MESUN,PTEGU	2	2	0	0	0	0	0	4_Random_controls	10.804	8.663	64.82075524		
0.APAVI,CHAVO,BALRE,GALGA,MELGA,ANAPL	6	5	3	60	0	0	0	4_Random_controls					
0.APAVI,CHLUN,TAUER,CUCCA,PHORU,PODCR	2	2	2	100	1	1	100	4_Random_controls					
0.APAVI,COLST,PELCR,EGRGA,NIPNI,PHACA	2	2	2	100	0	0	0	4_Random_controls					
0.APAVI,HALLE,HALAL,CATAU,PHALE,EURHE	4	3	3	100	0	0	0	4_Random_controls					
0.APAVI,HALLE,HALAL,CATAU,PHORU,PODCR	3	3	2	66.66667	0	0	0	4_Random_controls					
0.APAVI,HALLE,HALAL,MESUN,PTEGU,COLLI	2	2	2	100	0	0	0	4_Random_controls					
0.APAVI,PELCR,EGRGA,NIPNI,PHACA,PODCR	3	3	1	33.33333	0	0	0	4_Random_controls					
0.APAVI,PELCR,EGRGA,NIPNI,PHACA,STRCA	1	0	0	0	0	0	0	4_Random_controls					
0.APAVI,PHORU,PODCR,GALGA,MELGA,ANAPL	21	16	15	93.75	3	3	100	4_Random_controls					
0.APTFO,CHAVO,BALRE,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.APTFO,CHAVO,BALRE,OPHHO,MESUN,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.APTFO,MESUN,PTEGU,COLLI,TINMA,STRCA	0	0	0	0	0	0	0	4_Random_controls					
0.BUCRH,CALAN,CHAPE,CAPCA,GALGA,MELGA	14	12	8	66.66667	1	1	100	4_Random_controls					
0.BUCRH,CHAVO,BALRE,CALAN,CHAPE,CAPCA	1	1	1	100	0	0	0	4_Random_controls					
0.BUCRH,CHLUN,TAUER,CUCCA,MESUN,PTEGU	1	1	1	100	1	1	100	4_Random_controls					
0.BUCRH,HALLE,HALAL,CATAU,CALAN,CHAPE	5	4	3	75	0	0	0	4_Random_controls					
0.BUCRH,HALLE,HALAL,CATAU,CHLUN,TAUER	1	1	0	0	0	0	0	4_Random_controls					
0.BUCRH,HALLE,HALAL,CATAU,PELCR,EGRGA	4	4	3	75	0	0	0	4_Random_controls					
0.BUCRH,HALLE,HALAL,GALGA,MELGA,ANAPL	34	32	21	65.625	5	3	60	4_Random_controls					
0.BUCRH,HALLE,HALAL,MESUN,PTEGU,COLLI	4	2	2	100	0	0	0	4_Random_controls					
0.BUCRH,PELCR,EGRGA,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.BUCRH,PELCR,EGRGA,NIPNI,PHACA,CAPCA	1	0	0	0	0	0	0	4_Random_controls					
0.BUCRH,PELCR,EGRGA,NIPNI,PHACA,STRCA	1	1	1	100	0	0	0	4_Random_controls					
0.BUCRH,PYGAD,APTFO,CALAN,CHAPE,CAPCA	3	2	1	50	1	1	100	4_Random_controls					
0.BUCRH,PYGAD,APTFO,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.CALAN,CHAPE,CAPCA,CHLUN,TINMA,STRCA	8	7	6	85.71429	0	0	0	4_Random_controls					
0.CALAN,CHAPE,CAPCA,PHORU,PODCR,STRCA	3	3	2	66.66667	0	0	0	4_Random_controls					
0.CALAN,CHAPE,CAPCA,PTEGU,PHORU,PODCR	3	3	2	66.66667	1	1	100	4_Random_controls					
0.CALAN,CHAPE,CHLUN,TAUER,CUCCA,PTEGU	1	1	0	0	0	0	0	4_Random_controls					
0.CALAN,CHAPE,GALGA,MELGA,ANAPL,STRCA	73	63	49	77.77778	10	6	60	4_Random_controls					
0.CALAN,CHAPE,GALGA,MELGA,ANAPL,TINMA	79	65	52	80	10	7	70	4_Random_controls					
0.CALAN,CHAPE,MESUN,PTEGU,GALGA,MELGA	24	19	16	84.21053	4	3	75	4_Random_controls					
0.CAPCA,MESUN,PTEGU,COLLI,GALGA,MELGA	10	9	8	88.88889	0	0	0	4_Random_controls					
0.CAPCA,MESUN,PTEGU,COLLI,TINMA,STRCA	7	7	6	85.71429	2	1	50	4_Random_controls					
0.CAPCA,PHORU,PODCR,GALGA,MELGA,ANAPL	15	13	10	76.92308	1	1	100	4_Random_controls					
0.CARCR,APAVI,PELCR,EGRGA,NIPNI,PHACA	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,CALAN,CHAPE,CAPCA,MESUN,PTEGU	3	3	3	100	0	0	0	4_Random_controls					
0.CARCR,CHAVO,BALRE,OPHHO,PHORU,PODCR	2	2	0	0	0	0	0	4_Random_controls					
0.CARCR,HALLE,HALAL,CATAU,CHAVO,BALRE	2	2	2	100	1	1	100	4_Random_controls					
0.CARCR,HALLE,HALAL,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,ANAPL	4	4	4	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,BALRE	2	2	1	50	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CALAN	8	7	6	85.71429	1	1	100	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CHAPE	4	4	2	50	1	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CHAVO	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,COLLI	3	2	1	50	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,NIPNI	2	1	1	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,PHACA	5	4	4	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,PHALE	2	2	2	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,HALLE,HALAL	4	4	4	100	0	0	0	4_Random_controls					
