"","iCSAV","dCSAV","CSAV","iCSCV","dCSCV","CSCV","iCSNV","dCSNV","CSNV","POB","PTB","DTN","DTB"
"iCSAV",NA,1.31281612046932e-127,2.89679237836304e-168,3.99505683725081e-198,3.44194106367965e-140,3.52227740015533e-147,2.19570583360036e-195,9.42602466889197e-123,6.25648459160324e-161,1.32066156781146e-105,0.0485265879771907,1.65719946945189e-08,1.58684799489222e-37
"dCSAV",0.662705219562707,NA,0,8.36848632877991e-163,0,0,3.23467834984226e-176,1.8256357303668e-253,2.20712672643723e-271,1.30922834822051e-159,0.056403698323238,5.42854733356861e-30,1.21928376026063e-62
"CSAV",0.731390568402812,0.989595224300092,NA,2.20774396992364e-185,0,0,8.22382340132308e-201,5.61767450145317e-252,8.524769850172e-293,1.79617675831823e-162,0.0797982744661393,5.16545372841674e-29,1.08980800020687e-60
"iCSCV",0.771164913047997,0.723247660072203,0.755111076990529,NA,1.32992592381322e-183,3.91173136454741e-204,0,2.81372118071998e-148,1.02245562445124e-238,7.84000393007947e-124,0.188425443740948,1.18424341842139e-13,7.18807152074825e-49
"dCSCV",0.686106848392919,0.906535570714571,0.909398804293705,0.75276451738678,NA,0,1.59149906927864e-198,2.11173194141117e-275,5.87465037948297e-314,4.4861470684635e-175,0.00380614767888917,4.188190076963e-42,9.38918679423671e-75
"CSCV",0.698216853921037,0.9054433960422,0.912017540082445,0.778306681032185,0.998543734226602,NA,3.55489854799695e-215,1.00038640054908e-274,0,8.6655943027473e-177,0.00518883992808537,3.10458140222065e-41,8.55922398102102e-74
"iCSNV",0.767819639223267,0.742736745248335,0.774390280589503,0.914646338793924,0.771648201176059,0.790767776065561,NA,3.83468218469933e-151,2.19030776761647e-289,1.14367892036686e-127,0.421976353434935,1.56165651364629e-15,2.92305001332138e-51
"dCSNV",0.653068913642868,0.828197561879497,0.826891853937853,0.700064613507182,0.846231453056734,0.84570833844798,0.704822712462992,NA,0,1.9002090742764e-130,0.302447788646456,4.11418530288734e-25,8.64757126109098e-53
"CSNV",0.72038456282765,0.843090122574482,0.859054280622306,0.814755117475469,0.873109502628277,0.882271583331566,0.856635602619877,0.950972593730036,NA,1.22175975199875e-144,0.395510249439202,7.81899598005478e-26,2.81532476946459e-56
"POB",0.615955659798444,0.718344681496693,0.72274341877227,0.655242988374848,0.741143207390395,0.74353050788568,0.66282188164814,0.668178053485955,0.693885329806097,NA,0.288757483376717,9.4674814636148e-15,2.084355658441e-51
"PTB",-0.0623691793332489,0.060323509948823,0.0553976211742347,-0.0416051031019536,0.0913868938266959,0.0882814972773232,-0.0254079632530468,0.0326251520107019,0.026884142431395,0.0335627919083285,NA,2.55862851410815e-159,5.1797843666139e-12
"DTN",0.177211292019247,0.34868963901755,0.342990119082919,0.231572352323797,0.411117805663448,0.407056478008848,0.248323133288303,0.318996673453744,0.323596548728933,0.241503158561109,0.71789277609816,NA,1.77621215605225e-37
"DTB",0.389082601146781,0.493761461877148,0.486815458305828,0.440933222736272,0.533628374404268,0.530655847735354,0.450795586503274,0.456937069004536,0.470493457388485,0.451390991130493,-0.215800601080449,0.388837728269614,NA
