"","iCSAV","dCSAV","CSAV","iCSCV","dCSCV","CSCV","iCSNV","dCSNV","CSNV","POB","PTB","DTN","DTB"
"iCSAV",NA,0,0,0,0,0,0,2.59835318857748e-300,0,2.3449947916794e-273,0.00161622371560578,1.84857182672022e-05,2.0944659104054e-22
"dCSAV",0.813795142397012,NA,0,0,0,0,0,0,0,0,0.00176989327608856,8.26642463863592e-11,2.89378493008254e-40
"CSAV",0.86234328889617,0.995642906606644,NA,0,0,0,0,0,0,0,0.00152135467854032,4.40486070928219e-10,3.9576337228126e-38
"iCSCV",0.824987679966823,0.85154543231129,0.869334064367484,NA,0,0,0,0,0,7.45458598076159e-298,0.00532857982938604,7.35254712583697e-07,2.53879018879706e-20
"dCSCV",0.788823885754404,0.972281343735761,0.967637116880428,0.848558837504782,NA,0,0,0,0,0,0.00614844596010214,2.82631667799141e-14,5.04704104296218e-48
"CSCV",0.80595603382755,0.973608184987667,0.971665666284387,0.879609703837275,0.997943136722164,NA,0,0,0,0,0.00564683694063267,1.8853698496495e-13,8.6672039731084e-45
"iCSNV",0.835687962260695,0.872103071318011,0.888870009825105,0.991571896056606,0.868302016554547,0.896586576096307,NA,0,0,6.29801723632272e-316,0.00482772097922406,3.73791338786986e-07,2.31456444443818e-21
"dCSNV",0.746640807673576,0.923364424298313,0.918532064826665,0.848554581535687,0.913375345472481,0.920599200448936,0.862520777760686,NA,0,0,0.00219389184385729,9.66851781810753e-09,3.03674507711379e-31
"CSNV",0.815407890985873,0.932820698449834,0.938133497253146,0.945745773114054,0.925428666424639,0.942965075754845,0.957733502481624,0.970443364869122,NA,0,0.00265472190988322,3.05822157059364e-08,2.01671090116046e-27
"POB",0.713132308601997,0.861730729560031,0.859979048063036,0.743755023437554,0.835314539340697,0.837967474605393,0.764232195880105,0.843602963532298,0.836553607130184,NA,9.18778537917766e-05,0.000331635289268761,3.12918883579686e-25
"PTB",0.00891562123556167,0.00874975302985803,0.00902618396511001,0.00675266452273526,0.00649585604251013,0.00664848818187902,0.00693017297539544,0.00835826203276557,0.00801156961426008,0.0142171159174324,NA,5.78088724876571e-88,3.93574865353779e-09
"DTN",0.0172163781343778,0.0404170774242699,0.0372702534297442,0.0232814589118501,0.0553473984732801,0.0518110209553035,0.0245568391900084,0.0314504837295188,0.0292785837163516,0.0118309906739896,0.326250134127398,NA,5.2201759412316e-44
"DTB",0.0896741386453528,0.161138062793052,0.152881312105337,0.0809792792052336,0.190476246486292,0.178367409369016,0.085329076209983,0.125731599190236,0.110304500454495,0.101348004299949,0.0331450165286147,0.175422059327216,NA
