"","iCSAV","dCSAV","CSAV","iCSCV","dCSCV","CSCV","iCSNV","dCSNV","CSNV","POB","PTB","DTN","DTB"
"iCSAV",NA,7.02646480883215e-22,1.91866727997298e-26,5.32971971884553e-23,6.76652803031131e-21,4.16891729620237e-22,1.70397860392397e-28,5.03479694968818e-18,2.51558754147435e-25,1.73518130917366e-16,0.510161704658054,0.0362165883913289,0.00196551487564671
"dCSAV",0.784536917335779,NA,4.24496882338082e-67,1.97532290690387e-24,2.45627805439436e-50,3.02828143231547e-50,2.58787309659301e-27,1.4620054300029e-38,5.29682234519107e-38,8.98394479776132e-23,0.470947868417481,0.00183877477613838,6.02033953494361e-06
"CSAV",0.848022651888348,0.993274992822107,NA,2.35521309991191e-26,2.01079980697239e-47,3.28138667595605e-49,1.4519349810067e-30,2.94947958065456e-36,5.3207592198132e-41,4.79377931213332e-23,0.470368840938067,0.00283834820542499,1.39612572237719e-05
"iCSCV",0.80221645229096,0.822719896882159,0.84698353345155,NA,1.61757634882886e-24,8.46712342514287e-28,5.92594695825947e-42,3.37786820071464e-23,4.12969027411801e-36,1.38346056358378e-12,0.967326840016081,0.00364834259375846,0.00210934373026011
"dCSCV",0.767719277209753,0.975660237946454,0.96956479379336,0.823892735869209,NA,4.38948307120667e-78,3.48968283103524e-28,4.95746091909237e-38,6.56396485922291e-39,3.92801607478514e-21,0.588517132616055,0.000669976858456863,1.72206224905937e-06
"CSCV",0.788238124540629,0.9754898623714,0.973464527818044,0.862999206649137,0.997105742083783,NA,2.06816359123995e-31,1.97373454098425e-38,1.17724019269421e-43,2.0246069265086e-20,0.629599750542937,0.000737535815253375,4.13522336657957e-06
"iCSNV",0.870111658049442,0.8578144560674,0.88915031534816,0.953700557995511,0.866978180636669,0.896109507931539,NA,1.61269847806463e-24,1.14965639679186e-44,1.80087392862381e-14,0.86438493289165,0.00238101900442464,0.000594569751991698
"dCSNV",0.710791263307685,0.939945029223442,0.928337793712088,0.805189076370217,0.937452820070791,0.939341843279602,0.8239104043672,NA,1.32961428123774e-39,7.88274057379694e-19,0.501068626732396,0.00288220560937515,7.1378472378908e-05
"CSNV",0.834452228539203,0.937314764940426,0.950189114399294,0.927530276641388,0.941525335016477,0.959366266764584,0.962396190627066,0.94455337481698,NA,1.4509251137607e-17,0.684423963937552,0.00201706078585502,0.00016336992681469
"POB",0.674833099778622,0.798757599863126,0.80291124364563,0.562537017391969,0.771872967689444,0.759119039302874,0.620902340502337,0.728024332691732,0.700473901916636,NA,0.0972267921567968,0.0737815068761871,1.16279950802342e-05
"PTB",-0.00928274548700903,-0.00782480590657486,-0.0078018008820786,-0.0166379994734622,-0.0116784023043208,-0.0127001111961562,-0.016168367487857,-0.00896158928438329,-0.0138481399091377,0.0292571686584896,NA,0.00457527406204697,0.0159561132812027
"DTN",0.0555885220948897,0.136306281799156,0.124686927164203,0.11793179346031,0.162976912846208,0.160462092704164,0.12939927503276,0.124275051753974,0.13383637726557,0.0365116509130168,0.111820184077567,NA,0.00227879823294071
"DTB",0.134527689500231,0.279353369317834,0.259630756166858,0.13264100954642,0.30783771089855,0.288009548030767,0.16609538687879,0.220046234677594,0.199301602990393,0.263958300081707,0.0778699881055275,0.130574154283556,NA
