Types	Targets	Data_type	Variant_type	CNT_gene	Gene_list	CNT_gobp	Average_p	GObp_list
APAVI,PHORU,PODCR,GALGA,MELGA,ANAPL_TAAS_conv	APAVI,PHORU,PODCR,GALGA,MELGA,ANAPL	TAAS	conv	2	BDKRB2,MANBA	3	0.0498	GO:1990127(0.0498)_intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator,GO:1902238(0.0498)_regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator,GO:1902239(0.0498)_negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
CARCR,CATAU,FALPE,HALAL,HALLE,LEPDI,TYTAL_TAAS_conv	CARCR,CATAU,FALPE,HALAL,HALLE,LEPDI,TYTAL	TAAS	conv	2	CDHR2,NOC4L	1	0.0498	GO:0060243(0.0498)_negative regulation of cell growth involved in contact inhibition
CHAVO,CHLUN,TAUER,CUCCA,PHORU,PODCR_TAAS_conv	CHAVO,CHLUN,TAUER,CUCCA,PHORU,PODCR	TAAS	conv	1	TNFAIP3	3	0.0493	GO:0034147(0.0493)_regulation of toll-like receptor 5 signaling pathway,GO:0034148(0.0493)_negative regulation of toll-like receptor 5 signaling pathway,GO:0070429(0.0493)_negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway
CHLUN,PHORU,PODCR,GALGA,MELGA,ANAPL_TAAS_conv	CHLUN,PHORU,PODCR,GALGA,MELGA,ANAPL	TAAS	conv	2	TGM6,GAS6	3	0.0498	GO:2000533(0.0498)_negative regulation of renal albumin absorption,GO:1900141(0.0498)_regulation of oligodendrocyte apoptotic process,GO:1900142(0.0498)_negative regulation of oligodendrocyte apoptotic process
COLST,HALLE,HALAL,FULGL,PYGAD,APTFO_TAAS_conv	COLST,HALLE,HALAL,FULGL,PYGAD,APTFO	TAAS	conv	1	MKS1	1	0.0493	GO:0003271(0.0493)_smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation
FALPE,MERNU,PICPU,BUCRH,APAVI,PHORU_TAAS_conv	FALPE,MERNU,PICPU,BUCRH,APAVI,PHORU	TAAS	conv	2	KIF14,TNFRSF8	7	0.0498	GO:0021685(0.0498)_cerebellar granular layer structural organization,GO:0032639(0.0498)_TRAIL production,GO:0032679(0.0498)_regulation of TRAIL production,GO:0032759(0.0498)_positive regulation of TRAIL production,GO:0045553(0.0498)_TRAIL biosynthetic process,GO:0045554(0.0498)_regulation of TRAIL biosynthetic process,GO:0045556(0.0498)_positive regulation of TRAIL biosynthetic process
HALLE,HALAL,CATAU,PYGAD,APTFO,STRCA_TAAS_conv	HALLE,HALAL,CATAU,PYGAD,APTFO,STRCA	TAAS	conv	2	TGS1,CDC37L1	1	0.0498	GO:0036261(0.0498)_7-methylguanosine cap hypermethylation
HALLE,PHALE,EURHE,CHLUN,TAUER,CUCCA_TAAS_conv	HALLE,PHALE,EURHE,CHLUN,TAUER,CUCCA	TAAS	conv	1	CDHR2	1	0.0493	GO:0060243(0.0493)_negative regulation of cell growth involved in contact inhibition
MANVI,HALLE,HALAL,CATAU,TINMA,STRCA_TAAS_conv	MANVI,HALLE,HALAL,CATAU,TINMA,STRCA	TAAS	conv	2	CAMKK1,WNK1	2	0.0193	GO:0018210(0.0204)_peptidyl-threonine modification,GO:0018107(0.0182)_peptidyl-threonine phosphorylation
MERNU,PICPU,BUCRH,APAVI,TYTAL,GALGA_TAAS_conv	MERNU,PICPU,BUCRH,APAVI,TYTAL,GALGA	TAAS	conv	1	HNMT	1	0.0493	GO:0001695(0.0493)_histamine catabolic process
MERNU,PICPU,BUCRH,NIPNI,PHORU,PODCR_TAAS_conv	MERNU,PICPU,BUCRH,NIPNI,PHORU,PODCR	TAAS	conv	1	ACD	2	0.0493	GO:0060380(0.0493)_regulation of single-stranded telomeric DNA binding,GO:0060381(0.0493)_positive regulation of single-stranded telomeric DNA binding
