nTargets	NumbOri	DistanceTN	DistanceTB	ProOriBL	SumOriBL	ProTerBL	SumTerBL	TV_1	TV_2	TV_3	TV_4	TV_C	TV_D	TV_A	ctrl
CARCR,CATAU,FALPE,HALAL,HALLE,LEPDI,TYTAL	5	0.3488	0.0509	3.79E-08	0.2677	6.28E-13	0.2979	0	2	0	6	2	6	8	0
CALAN,CHLUN,CUCCA,MELUN,NESNO,TAUER	3	0.5602	0.0917	6.54E-06	0.1665	1.60E-07	0.4685	0	0	2	34	0	36	36	1
ANAPL,CALAN,GALGA,MELGA,MELUN,NESNO	3	0.6722	0.2748	0.000234244	0.2048	4.87E-08	0.3974	3	28	10	357	31	367	398	1
CALAN,COLLI,MELUN,MESUN,NESNO,PTEGU	3	0.5635	0.0953	8.32E-06	0.1668	1.66E-07	0.4682	0	1	0	51	1	51	52	1
BALRE,CALAN,CHAVO,MELUN,NESNO,OPHHO	3	0.4976	0.0916	5.35E-06	0.1663	7.19E-08	0.406	0	1	0	16	1	16	17	1
APTFO,CALAN,FULGL,MELUN,NESNO,PYGAD	3	0.3887	0.117	7.13E-06	0.1666	1.39E-09	0.2717	0	1	0	13	1	13	14	1
CALAN,CATAU,HALAL,HALLE,MELUN,NESNO	3	0.38	0.1347	1.19E-05	0.1674	9.16E-12	0.2453	1	6	0	57	7	57	64	1
BUCRH,CALAN,MELUN,MERNU,NESNO,PICPU	3	0.6595	0.1002	1.49E-05	0.1679	4.08E-07	0.5593	3	13	3	95	16	98	114	1
CALAN,EGRGA,MELUN,NESNO,NIPNI,PELCR	3	0.4491	0.0983	5.95E-06	0.1664	2.58E-08	0.3508	1	0	0	11	1	11	12	1
APTFO,BALRE,CHAVO,EGRGA,FULGL,GAVST,NIPNI,PELCR,PHACA,PHALE,PHORU,PODCR,PYGAD	4	0.6251	0.0544	2.42E-09	0.0757	4.94E-19	0.5707	0	1	0	0	1	0	1	0
CALAN,CHLUN,CORBR,GEOFO,TAEGU,TAUER	3	0.5295	0.1553	6.94E-06	0.158	3.51E-08	0.3742	0	9	3	117	9	120	129	1
CALAN,CORBR,GALGA,GEOFO,MELGA,TAEGU	3	0.6527	0.3384	0.000560343	0.2697	1.19E-08	0.3143	23	111	28	960	134	988	1122	1
CALAN,CORBR,GEOFO,MESUN,PTEGU,TAEGU	3	0.548	0.1589	1.34E-05	0.1593	4.23E-08	0.3891	1	12	6	169	13	175	188	1
CALAN,CORBR,GEOFO,PHORU,PODCR,TAEGU	3	0.4877	0.1678	6.44E-05	0.1696	1.23E-08	0.3199	3	11	3	103	14	106	120	1
CALAN,CORBR,GEOFO,STRCA,TAEGU,TINMA	3	0.7214	0.2771	0.000225921	0.2022	6.67E-08	0.4443	9	60	13	800	69	813	882	1
BALRE,CALAN,CHAVO,CORBR,GEOFO,TAEGU	3	0.5028	0.1552	7.43E-06	0.1581	2.33E-08	0.3476	1	6	2	67	7	69	76	1
CALAN,CORBR,GEOFO,HALAL,HALLE,TAEGU	3	0.4307	0.1983	0.000211553	0.1993	7.45E-12	0.2324	5	23	9	307	28	316	344	1
ANAPL,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5713	0.2528	0.000233017	0.1971	1.48E-08	0.3185	3	32	9	415	35	424	459	1
APAVI,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5017	0.1787	0.000243471	0.2016	1.55E-08	0.323	2	30	19	376	32	395	427	1
APTFO,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4351	0.206	2.53E-05	0.1077	1.61E-09	0.2291	0	3	1	63	3	64	67	1
BALRE,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.457	0.1817	0.000132655	0.1539	8.44E-09	0.2753	1	20	2	180	21	182	203	1
BUCRH,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4992	0.1812	0.000231855	0.1966	1.47E-08	0.318	3	36	7	358	39	365	404	1
CALAN,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5364	0.2056	0.000261592	0.2094	1.66E-08	0.3308	8	63	16	539	71	555	626	0
CAPCA,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4731	0.1852	0.000161927	0.1665	1.03E-08	0.2879	2	15	8	247	17	255	272	1
CARCR,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4458	0.1726	0.000127776	0.1518	8.13E-09	0.2732	4	15	9	161	19	170	189	1
CATAU,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4252	0.1769	6.99E-05	0.1269	4.45E-09	0.2483	0	5	7	109	5	116	121	1
CHAPE,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5146	0.2056	0.000210947	0.1876	1.34E-08	0.309	3	73	10	478	76	488	564	0
CHAVO,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4601	0.1817	0.000139857	0.157	8.90E-09	0.2784	2	19	2	187	21	189	210	1
CHLUN,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4752	0.1839	0.000169826	0.1699	1.08E-08	0.2913	0	16	11	226	16	237	253	1
COLLI,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.4982	0.1837	0.000223724	0.1931	1.42E-08	0.3145	6	55	16	433	61	449	510	1
COLST,CORBR,GEOFO,MELUN,NESNO,TAEGU	3	0.5148	0.1761	0.000279946	0.2173	1.78E-08	0.3387	6	53	16	404	59	420	479	1
CORBR,CUCCA,GEOFO,MELUN,NESNO,TAEGU	3	0.5122	0.1825	0.000259037	0.2083	1.65E-08	0.3297	3	38	13	406	41	419	460	1
CORBR,EGRGA,GEOFO,MELUN,NESNO,TAEGU	3	0.4617	0.1873	0.000130564	0.153	8.31E-09	0.2744	2	14	4	189	16	193	209	1
CORBR,EURHE,GEOFO,MELUN,NESNO,TAEGU	3	0.4955	0.1826	0.000220007	0.1915	1.40E-08	0.3129	5	26	13	330	31	343	374	1
CORBR,FALPE,GEOFO,MELUN,NESNO,TAEGU	3	0.4657	0.1713	0.000177028	0.173	1.13E-08	0.2944	4	65	4	339	69	343	412	1
CORBR,FULGL,GEOFO,MELUN,NESNO,TAEGU	3	0.437	0.1846	7.95E-05	0.131	5.05E-09	0.2524	1	7	3	106	8	109	117	1
CORBR,GALGA,GEOFO,MELUN,NESNO,TAEGU	3	0.6232	0.3659	9.08E-05	0.1359	5.78E-09	0.2573	2	23	8	259	25	267	292	1
CORBR,GAVST,GEOFO,MELUN,NESNO,TAEGU	3	0.4442	0.1815	0.000103382	0.1413	6.58E-09	0.2627	2	10	5	124	12	129	141	1
CORBR,GEOFO,HALAL,MELUN,NESNO,TAEGU	3	0.4389	0.2196	2.56E-06	0.0979	1.63E-10	0.2193	0	1	1	20	1	21	22	1
CORBR,GEOFO,HALLE,MELUN,NESNO,TAEGU	3	0.4388	0.2196	2.32E-06	0.0978	1.48E-10	0.2192	0	1	0	34	1	34	35	1
CORBR,GEOFO,LEPDI,MELUN,NESNO,TAEGU	3	0.4627	0.1775	0.000155654	0.1638	9.90E-09	0.2852	0	11	4	229	11	233	244	1
CORBR,GEOFO,MELGA,MELUN,NESNO,TAEGU	3	0.629	0.3659	0.000104312	0.1417	6.64E-09	0.2631	6	17	10	242	23	252	275	1
