GeneSymbol,ExpPattern,AX_HVC_inc,AX_HVC_dec,AX_LMAN_inc,AX_LMAN_dec,AX_RA_inc,AX_RA_dec,HVC_AX_inc,HVC_AX_dec,HVC_LMAN_inc,HVC_LMAN_dec,HVC_RA_inc,HVC_RA_dec,LMAN_AX_inc,LMAN_AX_dec,LMAN_HVC_inc,LMAN_HVC_dec,LMAN_RA_inc,LMAN_RA_dec,RA_AX_inc,RA_AX_dec,RA_HVC_inc,RA_HVC_dec,RA_LMAN_inc,RA_LMAN_dec,AX_inc,AX_dec,HVC_inc,HVC_dec,LMAN_inc,LMAN_dec,RA_inc,RA_dec
TPD52L1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
DLK1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
GPSM1,AXinc&RAdec,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,1,0,3
MTFR2,AXinc,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,0,2
GABRB3,AXinc,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,3,0,0,2,0,2,2,1
RASGRP1,AXinc&RAdec,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,1,0,3
ADCY5,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
PCP4,AXinc,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,3,0,0,2,0,2,2,1
ZNF827,AXinc&HVCdec,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,3,0,0,3,1,2,2,1
KCNA1,AXinc,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,3,0,0,2,0,2,2,1
GABRA5,AXinc,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,3,0,0,2,0,2,2,1
HVCN1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,2,1,1
SGK1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
PDE7B,AXinc&RAdec,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,1,0,3
DLX5,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
IAPP,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
KCND3,AXinc&RAdec,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,1,0,3
EPB41L4B,AXinc&RAdec,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,1,1,0,3
MID1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
