Short Name	Species	Long Name
ACACH	Rifleman	Acanthisitta chloris
ALLIG	American Alligator	Alligator mississippiensis
ANAPL	Mallard (domestic)	Anas platyrhynchos
ANOCA	Green lizard	Anolis carolinensis
ANTCA	Chuck-will's-widow (Nightjar)	Antrostomus carolinensis
CAPCA	Chuck-will's-widow (Nightjar)	Antrostomus carolinensis
APAVI	Bar-tailed Trogon	Apaloderma vittatum
APTFO	Emperor Penguin	Aptenodytes forsteri
BALRE	Grey Crowned Crane	Balearica regulorum
BUCRH	Rhinoceros Hornbill	Buceros rhinoceros
CALAN	Anna's Hummingbird	Calypte anna
CARCR	Red-legged Seriema	Cariama cristata
CATAU	Turkey Vulture	Cathartes aura
CHAPE	Chimney Swift	Chaetura pelagica
CHAVO	Killdeer	Charadrius vociferus
CHEMY	Green Turtle	Chelonia mydas
CHLUN	Houbara Bustard	Chlamydotis undulata
COLLI	Rock Pigeon (domestic)	Columba livia
COLST	Speckled Mousebird	Colius striatus
CORBR	American Crow	Corvus brachyrhynchos
CUCCA	Common Cuckoo	Cuculus canorus
EGRGA	Little Egret	Egretta garzetta
EURHE	Sunbittern	Eurypyga helias
FALPE	Peregrine Falcon	Falco peregrinus
FULGL	Northern Fulmar	Fulmarus glacialis
GALGA	Red Junglefowl (Chicken)	Gallus gallus
GAVST	Red-throated Loon	Gavia stellata
GEOFO	Medium Ground-finch	Geospiza fortis
HALAL	White-tailed Eagle	Haliaeetus albicilla
HALLE	Bald Eagle	Haliaeetus leucocephalus
HUMAN	Human	Homo sapiens
LEPDI	Cuckoo Roller	Leptosomus discolor
MANVI	Golden-collared Manakin	Manacus vitellinus
MELGA	Turkey	Meleagris gallopavo
MELUN	Budgerigar	Melopsittacus undulatus
MERNU	Carmine Bee-eater	Merops nubicus
MESUN	Brown Mesite	Mesitornis unicolor
NESNO	Kea	Nestor notabilis
NIPNI	Crested Ibis	Nipponia nippon
OPHHO	Hoatzin	Ophisthocomus hoazin
PELCR	Dalmatian Pelican	Pelecanus crispus
PHACA	Cormorant	Phalacrocorax carbo
PHALE	White-tailed Tropicbird	Phaethon lepturus
PHORU	American Flamingo	Phoenicopterus ruber
PICPU	Downy Woodpecker	Picoides pubescens
PODCR	Great Crested Grebe	Podiceps cristatus
PTEGU	Yellow-throated Sandgrouse	Pterocles gutturalis
PYGAD	Adelie Penguin	Pygoscelis adeliae
STRCA	Ostrich	Struthio camelus
TAEGU	Zebra Finch	Taeniopygia guttata
TAUER	Red-crested Turaco	Tauraco erythrolophus
TINMA	White-throated tinamou	Tinamou guttatus
TINGU	White-throated tinamou	Tinamou guttatus
TYTAL	Barn Owl	Tyto alba
