# Species ID / common name / scholar name
TAEGU	Zebra Finch	Taeniopygia guttata
GEOFO	Medium Ground-finch	Geospiza fortis
CORBR	American Crow	Corvus brachyrhynchos
MANVI	Golden-collared Manakin	Manacus vitellinus
MELUN	Budgerigar	Melopsittacus undulatus
NESNO	Kea	Nestor notabilis
FALPE	Peregrine Falcon	Falco peregrinus
CARCR	Red-legged Seriema	Cariama cristata
MERNU	Carmine Bee-eater	Merops nubicus
PICPU	Downy Woodpecker	Picoides pubescens
BUCRH	Rhinoceros Hornbill	Buceros rhinoceros
APAVI	Bar-tailed Trogon	Apaloderma vittatum
LEPDI	Cuckoo Roller	Leptosomus discolor
COLST	Speckled Mousebird	Colius striatus
TYTAL	Barn Owl	Tyto alba
HALLE	Bald Eagle	Haliaeetus leucocephalus
HALAL	White-tailed Eagle	Haliaeetus albicilla
CATAU	Turkey Vulture	Cathartes aura
PELCR	Dalmatian Pelican	Pelecanus crispus
EGRGA	Little Egret	Egretta garzetta
NIPNI	Crested Ibis	Nipponia nippon
PHACA	Cormorant	Phalacrocorax carbo
FULGL	Northern Fulmar	Fulmarus glacialis
PYGAD	Adelie Penguin	Pygoscelis adeliae
APTFO	Emperor Penguin	Aptenodytes forsteri
GAVST	Red-throated Loon	Gavia stellata
PHALE	White-tailed Tropicbird	Phaethon lepturus
EURHE	Sunbittern	Eurypyga helias
CHAVO	Killdeer	Charadrius vociferus
BALRE	Grey Crowned Crane	Balearica regulorum
OPHHO	Hoatzin	Ophisthocomus hoazin
CALAN	Anna's Hummingbird	Calypte anna
CHAPE	Chimney Swift	Chaetura pelagica
CAPCA	Chuck-will's-widow (Nightjar)	Antrostomus carolinensis
CHLUN	Houbara Bustard	Chlamydotis undulata
TAUER	Red-crested Turaco	Tauraco erythrolophus
CUCCA	Common Cuckoo	Cuculus canorus
MESUN	Brown Mesite	Mesitornis unicolor
PTEGU	Yellow-throated Sandgrouse	Pterocles gutturalis
COLLI	Rock Pigeon (domestic)	Columba livia
PHORU	American Flamingo	Phoenicopterus ruber
PODCR	Great Crested Grebe	Podiceps cristatus
GALGA	Red Junglefowl (Chicken)	Gallus gallus
MELGA	Turkey	Meleagris gallopavo
ANAPL	Mallard (domestic)	Anas platyrhynchos
TINMA	White-throated tinamou	Tinamus guttatus
STRCA	Ostrich	Struthio camelus
ACACH	Rifleman	Acanthisitta chloris
HUMAN	Human	Homo sapiens
