# Data description
In this text, 5 types of species combinations were included: 1 set of avian vocal learners, 1 set of birds of prey, 1 set of waterbirds, 59 sets as core control, and 1,000 sets as random control.

# Set of vocal learning birds (n=6)
TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN

# Set of birds of prey (n=6)
FALPE,CARCR,TYTAL,HALLE,HALAL,CATAU

# Set of waterbirds (n=15)
PELCR,EGRGA,NIPNI,PHACA,FULGL,PYGAD,APTFO,GAVST,PHALE,EURHE,CHAVO,BALRE,PHORU,PODCR,ANAPL

# 59 core control sets (each n = 6) excluding 2 sets of 2 convergent traits (birds of prey and waterbirds)
CALAN,CHLUN,CUCCA,MELUN,NESNO,TAUER
ANAPL,CALAN,GALGA,MELGA,MELUN,NESNO
CALAN,COLLI,MELUN,MESUN,NESNO,PTEGU
BALRE,CALAN,CHAVO,MELUN,NESNO,OPHHO
APTFO,CALAN,FULGL,MELUN,NESNO,PYGAD
CALAN,CATAU,HALAL,HALLE,MELUN,NESNO
BUCRH,CALAN,MELUN,MERNU,NESNO,PICPU
CALAN,EGRGA,MELUN,NESNO,NIPNI,PELCR
CALAN,CHLUN,CORBR,GEOFO,TAEGU,TAUER
CALAN,CORBR,GALGA,GEOFO,MELGA,TAEGU
CALAN,CORBR,GEOFO,MESUN,PTEGU,TAEGU
CALAN,CORBR,GEOFO,PHORU,PODCR,TAEGU
CALAN,CORBR,GEOFO,STRCA,TAEGU,TINMA
BALRE,CALAN,CHAVO,CORBR,GEOFO,TAEGU
CALAN,CORBR,GEOFO,HALAL,HALLE,TAEGU
ANAPL,CORBR,GEOFO,MELUN,NESNO,TAEGU
APAVI,CORBR,GEOFO,MELUN,NESNO,TAEGU
APTFO,CORBR,GEOFO,MELUN,NESNO,TAEGU
BALRE,CORBR,GEOFO,MELUN,NESNO,TAEGU
BUCRH,CORBR,GEOFO,MELUN,NESNO,TAEGU
CAPCA,CORBR,GEOFO,MELUN,NESNO,TAEGU
CARCR,CORBR,GEOFO,MELUN,NESNO,TAEGU
CATAU,CORBR,GEOFO,MELUN,NESNO,TAEGU
CHAPE,CORBR,GEOFO,MELUN,NESNO,TAEGU
CHAVO,CORBR,GEOFO,MELUN,NESNO,TAEGU
CHLUN,CORBR,GEOFO,MELUN,NESNO,TAEGU
COLLI,CORBR,GEOFO,MELUN,NESNO,TAEGU
COLST,CORBR,GEOFO,MELUN,NESNO,TAEGU
CORBR,CUCCA,GEOFO,MELUN,NESNO,TAEGU
CORBR,EGRGA,GEOFO,MELUN,NESNO,TAEGU
CORBR,EURHE,GEOFO,MELUN,NESNO,TAEGU
CORBR,FALPE,GEOFO,MELUN,NESNO,TAEGU
CORBR,FULGL,GEOFO,MELUN,NESNO,TAEGU
CORBR,GALGA,GEOFO,MELUN,NESNO,TAEGU
CORBR,GAVST,GEOFO,MELUN,NESNO,TAEGU
CORBR,GEOFO,HALAL,MELUN,NESNO,TAEGU
CORBR,GEOFO,HALLE,MELUN,NESNO,TAEGU
CORBR,GEOFO,LEPDI,MELUN,NESNO,TAEGU
CORBR,GEOFO,MELGA,MELUN,NESNO,TAEGU
CORBR,GEOFO,MELUN,MERNU,NESNO,TAEGU
CORBR,GEOFO,MELUN,MESUN,NESNO,TAEGU
CORBR,GEOFO,MELUN,NESNO,NIPNI,TAEGU
CORBR,GEOFO,MELUN,NESNO,OPHHO,TAEGU
CORBR,GEOFO,MELUN,NESNO,PELCR,TAEGU
CORBR,GEOFO,MELUN,NESNO,PHACA,TAEGU
CORBR,GEOFO,MELUN,NESNO,PHALE,TAEGU
CORBR,GEOFO,MELUN,NESNO,PHORU,TAEGU
