Symbol	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
ALPK1	specific	214828	1021	1229	1.25E-60	206.052	smart00811	Alpha_kinase	 - 	cl03728
MEI4	specific	316488	2	377	3.04E-118	347.009	pfam13971	Mei4	 - 	cl16510
MFSD4B	superfamily	332727	12	391	1.53E-13	72.3477	cl27906	FucP superfamily	 - 	 - 
MTFR1	specific	310136	24	251	3.14E-110	320.356	pfam05308	Mito_fiss_reg	 - 	cl18461
MUM1	specific	99903	410	489	1.17E-27	106.366	cd06080	MUM1_like	 - 	cl02554
ANKFN1	specific	238020	271	364	4.59E-13	65.2103	cd00063	FN3	 - 	cl21522
ANKFN1	specific	238125	132	198	2.18E-07	50.0746	cd00204	ANK	C	cl02529
NBN	specific	312196	683	745	6.38E-37	132.041	pfam08599	Nbs1_C	 - 	cl07278
NBN	specific	318665	217	325	8.78E-37	133.52	pfam16508	NIBRIN_BRCT_II	 - 	cl24920
NBN	specific	238017	1	109	8.04E-20	84.7454	cd00060	FHA	 - 	cl00062
NBN	specific	237994	114	182	5.61E-05	41.5383	cd00027	BRCT	 - 	cl00038
NBN	superfamily	331582	502	646	0.00561121	40.3676	cl26761	MDN1 superfamily	N	 - 
NDC1	specific	312887	20	666	3.30E-85	275.693	pfam09531	Ndc1_Nup	 - 	cl12364
NOLC1	specific	309939	634	700	9.46E-28	106.067	pfam05022	SRP40_C	 - 	cl04891
NPHP1	specific	212704	156	209	1.62E-28	107.784	cd11770	SH3_Nephrocystin	 - 	cl17036
OTUD3	superfamily	327703	71	157	9.25E-14	67.4741	cl19932	OTU superfamily	C	 - 
PDZD8	specific	238492	364	441	3.79E-12	62.9694	cd00992	PDZ_signaling	 - 	cl00117
PDZD8	specific	237996	841	883	6.97E-12	60.9688	cd00029	C1	 - 	cl00040
PDZD8	superfamily	331285	517	635	0.000156287	45.8197	cl26464	Atrophin-1 superfamily	NC	 - 
PHACTR2	specific	128947	527	551	7.04E-06	42.8491	smart00707	RPEL	 - 	cl23061
PHACTR2	specific	308408	72	94	0.000119163	39.1597	pfam02755	RPEL	 - 	cl23528
PHACTR2	specific	128947	564	589	0.000170344	38.6119	smart00707	RPEL	 - 	cl23061
PHACTR2	specific	128947	488	513	0.000338513	37.8415	smart00707	RPEL	 - 	cl23061
PLEKHO1	specific	270127	18	127	7.27E-50	163.454	cd13317	PH_PLEKHO1_PLEKHO2	 - 	cl17171
PNPLA7	specific	132864	936	1241	0	680.665	cd07225	Pat_PNPLA6_PNPLA7	 - 	cl11396
PNPLA7	specific	237999	607	715	2.40E-21	90.4629	cd00038	CAP_ED	 - 	cl00047
PNPLA7	specific	237999	484	592	9.96E-17	77.3662	cd00038	CAP_ED	 - 	cl00047
PNPLA7	specific	237999	170	291	2.79E-15	73.129	cd00038	CAP_ED	 - 	cl00047
PRKAR2B	specific	237999	154	267	1.71E-26	102.404	cd00038	CAP_ED	 - 	cl00047
PRKAR2B	specific	237999	276	396	2.03E-26	102.404	cd00038	CAP_ED	 - 	cl00047
PRKAR2B	specific	213051	3	43	6.35E-23	90.3458	cd12104	DD_RIIbeta_PKA	 - 	cl02594
PTPRB	specific	214550	1920	2178	1.24E-115	366.984	smart00194	PTPc	 - 	cl27757
PTPRB	specific	306538	1480	1562	1.48E-12	64.7437	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	1574	1653	1.03E-10	59.7361	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	950	1026	1.06E-10	59.7361	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	1126	1199	2.02E-10	58.9657	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	331	407	4.67E-10	57.8101	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	1393	1466	3.32E-09	55.4989	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	1039	1112	1.54E-08	53.5729	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	862	938	2.39E-08	52.8025	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	687	765	3.85E-08	52.4173	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	596	672	8.75E-08	51.2617	pfam00041	fn3	 - 	cl21522
PTPRB	specific	238020	507	582	1.02E-07	51.3431	cd00063	FN3	 - 	cl21522
PTPRB	specific	306538	1305	1378	7.81E-07	48.5653	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	774	847	3.35E-06	47.0245	pfam00041	fn3	 - 	cl21522
PTPRB	specific	306538	1215	1294	3.35E-06	47.0245	pfam00041	fn3	 - 	cl21522
PTPRB	specific	238092	22	94	0.000166671	43.2631	cd00161	RICIN	N	cl23784
PTPRB	specific	306538	255	316	0.000190337	42.0169	pfam00041	fn3	 - 	cl21522
PTPRB	superfamily	328772	422	488	0.000826157	40.0909	cl21522	FN3 superfamily	 - 	 - 
REST	superfamily	332908	599	767	8.60E-08	56.6319	cl28087	FtsK superfamily	NC	 - 
REST	specific	316026	318	343	1.47E-06	45.4168	pfam13465	zf-H2C2_2	 - 	cl22375
REST	specific	316026	290	315	4.28E-05	41.1796	pfam13465	zf-H2C2_2	 - 	cl22375
REST	specific	316431	332	357	0.000696161	37.5674	pfam13909	zf-H2C2_5	 - 	cl16469
REST	specific	227381	271	414	0.00266449	41.2198	COG5048	COG5048	N	cl27760
REXO1	specific	318151	802	962	2.47E-81	262.681	pfam15870	EloA-BP1	 - 	cl24445
REXO1	specific	99848	1061	1209	1.89E-78	254.332	cd06145	REX1_like	 - 	cl10012
REXO1	superfamily	330572	400	688	4.68E-05	47.7622	cl25751	DUF4045 superfamily	N	 - 
REXO1	superfamily	332854	39	477	5.78E-05	47.4733	cl28033	Herpes_ICP4_C superfamily	C	 - 
REXO1	superfamily	116408	680	884	0.00141305	42.5671	cl25927	DUF1633 superfamily	NC	 - 
RIOK1	specific	270698	182	371	2.33E-149	426.602	cd05147	RIO1_euk	 - 	cl21453
RPAP1	specific	312214	356	421	2.71E-28	108.38	pfam08620	RPAP1_C	 - 	cl07295
RPAP1	specific	312215	225	270	5.03E-17	75.6462	pfam08621	RPAP1_N	 - 	cl07296
ARMC6	specific	214547	209	251	0.000240011	38.1793	smart00185	ARM	 - 	cl22454
SACS	specific	214800	4451	4567	3.84E-22	94.2892	smart00748	HEPN	 - 	cl00824
SACS	specific	176364	19	60	7.06E-05	43.4098	cd01769	UBL	C	cl00155
SACS	superfamily	321979	4322	4357	0.00102488	40.1512	cl02542	DnaJ superfamily	NC	 - 
SETD4	specific	312693	314	425	2.07E-09	55.0812	pfam09273	Rubis-subs-bind	 - 	cl07783
SH3BP2	specific	270118	76	190	5.52E-60	195.317	cd13308	PH_3BP2	 - 	cl17171
SH3BP2	specific	198222	513	613	6.76E-58	189.42	cd10359	SH2_SH3BP2	 - 	cl15255
SH3BP2	superfamily	330572	311	539	0.00188422	41.2138	cl25751	DUF4045 superfamily	N	 - 
ASH1L	specific	99955	2438	2543	3.41E-58	196.456	cd05525	Bromo_ASH1	 - 	cl02556
ASH1L	specific	240068	2660	2794	2.71E-56	191.259	cd04717	BAH_polybromo	 - 	cl02608
ASH1L	specific	214614	2141	2261	3.14E-44	157.111	smart00317	SET	 - 	cl02566
ASH1L	specific	277023	2581	2623	1.11E-29	112.559	cd15548	PHD_ASH1L	 - 	cl22851
ASH1L	specific	197795	2087	2138	5.59E-19	82.4474	smart00570	AWS	 - 	cl02673
SMPD3	specific	197312	338	646	7.30E-76	244.174	cd09078	nSMase	 - 	cl00490
SMPD3	superfamily	332854	171	321	0.000503721	43.2361	cl28033	Herpes_ICP4_C superfamily	C	 - 
SPAG16	specific	238121	344	631	1.45E-73	237.618	cd00200	WD40	 - 	cl25539
SPART	specific	311082	427	611	1.26E-64	210.909	pfam06911	Senescence	 - 	cl25903
SPART	specific	239142	16	95	1.06E-29	111.986	cd02679	MIT_spastin	 - 	cl00299
SPG11	specific	317095	2095	2387	1.65E-118	376.924	pfam14649	Spatacsin_C	 - 	cl20611
SYNJ2	superfamily	321002	530	861	0	744.533	cl00490	EEP superfamily	 - 	 - 
SYNJ2	superfamily	332255	13	485	6.98E-92	309.705	cl27434	Syja_N superfamily	 - 	 - 
SYNJ2	specific	286093	872	1008	4.46E-69	228.155	pfam08952	DUF1866	 - 	cl17169
SYNJ2	superfamily	331285	1294	1469	2.02E-06	52.4076	cl26464	Atrophin-1 superfamily	C	 - 
SYNJ2	superfamily	331207	1146	1344	0.000413874	44.8667	cl26386	DNA_pol3_gamma3 superfamily	N	 - 
TANC1	specific	238125	1108	1231	1.17E-39	143.678	cd00204	ANK	 - 	cl02529
TANC1	specific	238125	1175	1289	3.89E-26	104.773	cd00204	ANK	 - 	cl02529
TANC1	specific	238125	962	1165	1.08E-24	100.921	cd00204	ANK	 - 	cl02529
TANC1	specific	238125	912	1021	3.26E-20	87.8242	cd00204	ANK	 - 	cl02529
TANC1	specific	223533	1262	1416	5.55E-08	56.3929	COG0457	TPR	N	cl26002
TCOF1	specific	308903	316	904	2.55E-58	210.262	pfam03546	Treacle	 - 	cl25490
TCOF1	superfamily	308903	212	444	1.48E-10	65.4271	cl25490	Treacle superfamily	N	 - 
TCOF1	specific	128913	6	37	0.00244097	36.6436	smart00667	LisH	 - 	cl26729
TCTE3	specific	308957	100	196	2.58E-31	109.084	pfam03645	Tctex-1	 - 	cl04194
TCTE3	superfamily	330184	11	72	0.000649137	39.3334	cl25363	VirB10_like superfamily	NC	 - 
TDRD9	specific	224557	132	716	2.68E-112	373.964	COG1643	HrpA	C	cl27160
TDRD9	superfamily	306940	904	1013	1.81E-14	70.8651	cl26991	TUDOR superfamily	 - 	 - 
TICRR	specific	317665	208	1004	0	1409.43	pfam15292	Treslin_N	 - 	cl21140
TICRR	superfamily	331285	1086	1504	9.16E-07	54.1741	cl26464	Atrophin-1 superfamily	N	 - 
TICRR	superfamily	332854	1323	1707	0.00131173	43.6213	cl28033	Herpes_ICP4_C superfamily	C	 - 
TNFRSF1A	specific	276902	44	175	9.38E-80	243.03	cd10576	TNFRSF1A	 - 	cl22855
TNFRSF1A	specific	176729	358	438	1.20E-43	147.536	cd08313	Death_TNFR1	 - 	cl14633
TNFRSF1A	superfamily	331285	250	366	0.00267173	40.3069	cl26464	Atrophin-1 superfamily	C	 - 
TNS3	specific	269924	1308	1439	2.34E-84	271.423	cd01213	PTB_tensin	 - 	cl17171
TNS3	specific	198181	1168	1284	1.91E-66	219.221	cd09927	SH2_Tensin_like	 - 	cl15255
TNS3	specific	313607	173	299	8.81E-47	163.981	pfam10409	PTEN_C2	 - 	cl11068
TNS3	specific	214649	72	186	3.20E-08	52.7463	smart00404	PTPc_motif	 - 	cl21483
TNS3	superfamily	331285	624	1058	4.20E-05	48.3961	cl26464	Atrophin-1 superfamily	N	 - 
TP53I3	specific	176180	1	328	1.60E-180	501.586	cd05276	p53_inducible_oxidoreductase	 - 	cl16912
TPCN2	specific	306908	431	697	5.18E-23	98.4932	pfam00520	Ion_trans	 - 	cl26838
TPCN2	specific	306908	184	315	1.04E-10	62.2845	pfam00520	Ion_trans	N	cl26838
TRAFD1	superfamily	332114	7	131	1.52E-19	92.2425	cl27293	UFD1 superfamily	N	 - 
TRAFD1	superfamily	331285	406	543	0.00104001	42.2329	cl26464	Atrophin-1 superfamily	N	 - 
TREM2	superfamily	325142	23	128	1.59E-13	64.0021	cl11960	Ig superfamily	 - 	 - 
TTC37	superfamily	330823	2	673	6.82E-21	99.7727	cl26002	TPR_11 superfamily	C	 - 
TTC37	superfamily	330823	957	1150	6.34E-09	58.1175	cl26002	TPR_11 superfamily	 - 	 - 
TTC37	specific	306905	861	894	0.000920827	37.7871	pfam00515	TPR_1	 - 	cl22897
TTC37	superfamily	330823	814	892	0.00674179	40.1103	cl26002	TPR_11 superfamily	NC	 - 
URB2	specific	313635	1322	1516	1.18E-23	100.346	pfam10441	Urb2	 - 	cl11092
USP4	superfamily	321984	35	923	1.25E-141	442.785	cl02553	Peptidase_C19 superfamily	 - 	 - 
WDR77	superfamily	330360	80	319	7.25E-26	104.339	cl25539	WD40 superfamily	 - 	 - 
WDR78	specific	225201	485	845	1.18E-17	86.6811	COG2319	WD40	N	cl25539
XPC	specific	273170	147	867	0	940.459	TIGR00605	rad4	 - 	cl26537
ZBTB49	specific	306997	15	119	7.72E-26	101.958	pfam00651	BTB	 - 	cl02518
ZBTB49	specific	316026	549	574	1.86E-05	41.5648	pfam13465	zf-H2C2_2	 - 	cl22375
ZBTB49	specific	316026	409	434	2.59E-05	41.1796	pfam13465	zf-H2C2_2	 - 	cl22375
ZBTB49	specific	227381	384	542	5.89E-05	46.2274	COG5048	COG5048	N	cl27760
ZC3H6	specific	214632	303	327	2.19E-05	42.2313	smart00356	ZnF_C3H1	 - 	cl11592
ZC3H6	superfamily	317966	300	357	4.80E-05	43.6539	cl25863	zf-CCCH_3 superfamily	C	 - 
ZC3H6	specific	214632	276	297	0.000295197	38.7645	smart00356	ZnF_C3H1	 - 	cl11592
ZC3H6	superfamily	332854	1006	1162	0.00785788	40.5397	cl28033	Herpes_ICP4_C superfamily	NC	 - 
ZDHHC1	specific	307600	129	284	7.02E-27	104.763	pfam01529	zf-DHHC	 - 	cl19890
BRCA2	specific	312623	2481	2667	9.29E-125	390.575	pfam09169	BRCA-2_helical	 - 	cl20058
BRCA2	specific	239940	2804	3054	4.26E-107	342.892	cd04494	BRCA2DBD_OB2	 - 	cl09930
BRCA2	specific	312584	3054	3186	2.11E-68	227.113	pfam09104	BRCA-2_OB3	 - 	cl09930
BRCA2	specific	312583	2671	2793	3.28E-60	202.388	pfam09103	BRCA-2_OB1	 - 	cl09930
BRCA2	specific	306982	1213	1244	8.29E-09	53.2047	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1518	1549	3.08E-08	51.6639	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1003	1034	8.76E-08	50.1231	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1973	2003	1.05E-07	50.1231	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1665	1696	1.90E-07	49.3527	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1422	1453	3.77E-06	45.5007	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	2052	2082	0.000107831	41.2635	pfam00634	BRCA2	 - 	cl02912
BRCA2	specific	306982	1838	1869	0.000489186	39.7227	pfam00634	BRCA2	 - 	cl02912
BRIP1	superfamily	331768	245	881	5.44E-100	333.993	cl26947	HBB superfamily	 - 	 - 
BRIP1	superfamily	331024	18	61	9.00E-05	46.869	cl26203	PolC superfamily	NC	 - 
C3orf67	superfamily	309935	7	46	4.03E-06	47.1794	cl04888	DUF667 superfamily	N	 - 
C8B	specific	214671	292	498	2.22E-57	190.722	smart00457	MACPF	 - 	cl02616
C8B	specific	214559	548	591	6.32E-12	60.2931	smart00209	TSP1	 - 	cl15278
C8B	specific	278486	120	155	2.77E-08	49.5544	pfam00057	Ldl_recept_a	 - 	cl00104
C8B	specific	214559	68	116	0.000258252	38.7219	smart00209	TSP1	 - 	cl15278
CCDC13	superfamily	330553	76	444	1.38E-12	71.284	cl25732	SMC_N superfamily	C	 - 
CCDC13	superfamily	330553	316	612	0.00226149	41.1955	cl25732	SMC_N superfamily	NC	 - 
CCDC69	superfamily	330553	51	270	4.53E-05	44.6623	cl25732	SMC_N superfamily	C	 - 
CDCA7	specific	313678	345	439	2.45E-60	191.674	pfam10497	zf-4CXXC_R1	 - 	cl20401
CFAP54	specific	317290	99	638	0	1092.78	pfam14858	DUF4486	 - 	cl20756
CFAP70	specific	223533	907	1097	1.64E-11	66.4081	COG0457	TPR	N	cl26002
CFAP70	specific	223533	634	768	0.000776211	42.5257	COG0457	TPR	NC	cl26002
CFLAR	specific	214521	244	479	8.34E-104	309.554	smart00115	CASc	 - 	cl00042
CFLAR	specific	260046	91	171	6.10E-38	132.861	cd08340	DED_c-FLIP_r2	 - 	cl14633
CFLAR	specific	260044	1	80	2.65E-34	123.296	cd08337	DED_c-FLIP_r1	 - 	cl14633
CHGB	specific	279595	26	674	5.79E-175	511.5	pfam01271	Granin	 - 	cl27033
CLBA1	specific	317461	193	272	5.63E-42	140.189	pfam15045	Clathrin_bdg	 - 	cl20918
CLUL1	specific	307305	85	514	0	627.653	pfam01093	Clusterin	 - 	cl27604
COL6A3	specific	238758	1435	1599	5.36E-89	286.913	cd01481	vWA_collagen_alpha3-VI-like	 - 	cl00057
COL6A3	specific	238758	444	608	1.20E-85	277.283	cd01481	vWA_collagen_alpha3-VI-like	 - 	cl00057
COL6A3	specific	238758	638	802	2.28E-84	273.816	cd01481	vWA_collagen_alpha3-VI-like	 - 	cl00057
COL6A3	specific	238758	1232	1394	6.02E-83	269.579	cd01481	vWA_collagen_alpha3-VI-like	 - 	cl00057
COL6A3	superfamily	320736	1028	1191	2.12E-70	233.755	cl00057	vWFA superfamily	 - 	 - 
COL6A3	superfamily	320736	38	203	7.80E-67	223.318	cl00057	vWFA superfamily	 - 	 - 
COL6A3	superfamily	320736	241	405	1.71E-66	222.584	cl00057	vWFA superfamily	 - 	 - 
COL6A3	superfamily	320736	836	999	3.56E-60	204.48	cl00057	vWFA superfamily	 - 	 - 
COL6A3	specific	306576	1639	1811	5.10E-45	161.296	pfam00092	VWA	 - 	cl00057
COL6A3	specific	306576	2619	2806	1.34E-31	123.161	pfam00092	VWA	 - 	cl00057
COL6A3	specific	278443	3111	3162	4.38E-26	102.718	pfam00014	Kunitz_BPTI	 - 	cl00101
COL6A3	specific	306576	2403	2580	3.02E-22	96.1971	pfam00092	VWA	 - 	cl00057
COL6A3	specific	189968	2314	2371	1.08E-17	79.0702	pfam01391	Collagen	 - 	cl22949
COL6A3	specific	189968	2110	2172	9.23E-14	67.8994	pfam01391	Collagen	 - 	cl22949
COL6A3	specific	189968	2270	2338	2.12E-13	66.7438	pfam01391	Collagen	 - 	cl22949
COL6A3	specific	189968	2080	2133	6.67E-11	59.8102	pfam01391	Collagen	 - 	cl22949
COL6A3	specific	214621	1838	1994	4.16E-09	58.2348	smart00327	VWA	 - 	cl00057
COL6A3	specific	189968	2183	2292	7.73E-07	48.2542	pfam01391	Collagen	 - 	cl22949
COL6A3	specific	214495	2993	3061	8.53E-05	43.3721	smart00060	FN3	 - 	cl21522
DERA	specific	188646	50	277	2.51E-86	257.46	cd00959	DeoC	 - 	cl28880
DLGAP5	superfamily	308780	432	599	1.65E-23	102.492	cl24154	GKAP superfamily	N	 - 
DNAH10	specific	308587	3765	4467	0	973.52	pfam03028	Dynein_heavy	 - 	cl20241
DNAH10	specific	312031	245	758	5.40E-143	459.35	pfam08385	DHC_N1	 - 	cl20356
DNAH10	specific	312039	1261	1659	2.08E-139	440.111	pfam08393	DHC_N2	 - 	cl20357
DNAH10	superfamily	330758	1156	4147	7.38E-115	412.459	cl25937	MT superfamily	 - 	 - 
DNAH3	specific	308587	3414	4111	0	1135.69	pfam03028	Dynein_heavy	 - 	cl20241
DNAH3	specific	312039	868	1262	2.47E-132	419.696	pfam08393	DHC_N2	 - 	cl20357
DNAH3	specific	315453	3054	3270	2.64E-111	353.617	pfam12781	AAA_9	 - 	cl15086
DNAH3	superfamily	330758	1062	3743	2.52E-107	387.421	cl25937	MT superfamily	 - 	 - 
DNAH3	superfamily	330553	704	843	0.00581486	42.4399	cl25732	SMC_N superfamily	N	 - 
ACP2	specific	132717	33	330	5.62E-48	163.699	cd07061	HP_HAP_like	 - 	cl11399
DRC7	specific	307794	173	214	0.0058452	36.9964	pfam01841	Transglut_core	NC	cl17362
DRD5	superfamily	333717	41	369	0	589.62	cl28897	7tm_GPCRs superfamily	 - 	 - 
E2F8	specific	308118	114	182	3.38E-28	107.559	pfam02319	E2F_TDP	 - 	cl03534
E2F8	specific	308118	262	347	8.39E-21	86.3735	pfam02319	E2F_TDP	 - 	cl03534
E2F8	superfamily	331285	464	700	0.000346935	44.5441	cl26464	Atrophin-1 superfamily	N	 - 
EFHB	specific	238008	566	626	8.77E-15	69.1137	cd00051	EFh	 - 	cl08302
EFHC1	specific	310870	232	351	1.19E-44	154.165	pfam06565	DUF1126	 - 	cl26962
EFHC1	specific	128921	93	198	5.99E-43	149.384	smart00676	DM10	 - 	cl26962
EFHC1	specific	310870	409	512	4.61E-42	147.232	pfam06565	DUF1126	 - 	cl26962
EFHC1	superfamily	330173	558	638	8.73E-08	51.9262	cl25352	EFh_PEF superfamily	N	 - 
ENPP1	specific	307681	212	538	8.23E-128	389.098	pfam01663	Phosphodiest	 - 	cl27518
ENPP1	specific	214683	676	907	7.55E-83	265.379	smart00477	NUC	 - 	cl00089
ENPP1	specific	197571	145	188	7.95E-14	65.8577	smart00201	SO	 - 	cl02508
ENPP1	specific	197571	104	144	4.53E-12	61.2353	smart00201	SO	 - 	cl02508
FAM208A	specific	315225	166	319	1.94E-55	189.366	pfam12509	DUF3715	 - 	cl13889
FAM208A	superfamily	315063	53	110	0.00569044	39.2587	cl24250	RhlB superfamily	NC	 - 
FANCI	specific	212594	43	1290	0	1308.07	cd11720	FANCI	 - 	cl17018
FANCI	specific	317118	1	53	3.92E-24	96.1618	pfam14674	FANCI_S1-cap	 - 	cl20627
FBXO48	specific	315592	35	77	1.83E-12	57.8777	pfam12937	F-box-like	 - 	cl02535
FGFBP1	specific	310818	22	231	2.47E-89	262.627	pfam06473	FGF-BP1	 - 	cl05799
FNDC1	specific	238020	1658	1749	3.18E-12	64.0547	cd00063	FN3	 - 	cl21522
FNDC1	specific	238020	362	452	5.88E-12	63.2843	cd00063	FN3	 - 	cl21522
FNDC1	superfamily	332854	632	1064	9.49E-12	70.5853	cl28033	Herpes_ICP4_C superfamily	C	 - 
FNDC1	superfamily	331285	811	1352	1.54E-09	63.4189	cl26464	Atrophin-1 superfamily	N	 - 
FNDC1	specific	238020	261	354	2.00E-09	55.9655	cd00063	FN3	 - 	cl21522
FNDC1	specific	214495	40	120	2.59E-07	49.9205	smart00060	FN3	 - 	cl21522
FNDC1	specific	214495	158	241	0.000350842	41.0609	smart00060	FN3	 - 	cl21522
GDPD4	specific	176552	179	491	0	596.856	cd08610	GDPD_GDE6	 - 	cl14615
GPATCH1	specific	311582	31	116	1.42E-46	160.823	pfam07713	DUF1604	 - 	cl06656
GPATCH1	specific	307632	154	181	1.93E-05	42.4829	pfam01585	G-patch	 - 	cl02611
GPATCH1	superfamily	321418	403	486	0.0017681	41.7413	cl01255	DAGK_cat superfamily	C	 - 
GPLD1	specific	307160	28	211	2.52E-16	77.3357	pfam00882	Zn_dep_PLPC	 - 	cl16915
GPLD1	specific	214549	446	499	4.06E-10	55.8445	smart00191	Int_alpha	 - 	cl21611
GPLD1	specific	214549	377	434	4.20E-08	50.0665	smart00191	Int_alpha	 - 	cl21611
