OrthologID	Updated_symbol_20180424
5	AAK1
12	SPR
15	GFPT1
16	NAT10
20	LRIF1
28	SNRPE
30	CEPT1
37	ISOC1
39	TMEM230
44	MTCH1
51	DCP2
53	ZRSR2P1
54	APC
56	TMEM183A
57	TMEM9
62	STARD4
64	WDR36
74	GnRH-I
76	HMBS
78	IGFN1
79	PCNX1
81	METTL22
82	SLC25A22
84	PIGV
88	TIMM44
89	DHRS7C
90	SLC37A2
91	FBXO43
93	STC1
98	HNRNPM
99	SLC25A37
102	DHDDS
105	ENTPD4
107	METTL2A
108	IPO9
110	KCNC4
114	LSM7
115	TLK2
116	SLC16A4
122	SPPL2B
125	ENSGALT00000000601
129	SUCO
133	ENSGALT00000000643
138	NACA2
139	LONP1
141	PTGES3
142	PADI2
144	SDHB
148	FANCA
149	UBXN11
152	SH3BGRL3
158	CEP85
161	MATN1
163	ETNK2
165	SDC3
171	PTPN7
174	NKAIN1
175	GPR37L1
177	PPP1R15B
178	ELF3
183	KIF21B
189	MDM4
191	LRRN2
196	CNTN2
197	TMED6
198	TMEM81
201	RBBP5
206	KLHDC8A
207	CDK18
210	MFSD4A
212	SLC45A3
214	NUCKS1
216	SLC41A1
217	STX12
218	PM20D1
219	PPP1R8
223	RPA2
224	MATK
225	SMPDL3B
226	XKR8
234	CAPN5
235	TBC1D22B
239	PLA2G15
242	BRPF3
244	SMPD3
246	PIP5K1C
252	HSPE1
254	SLC7A6OS
257	IK
260	WNT11
264	TMEM173
267	EIF2D
268	SLC7A6
277	GINS3
278	GPATCH3
282	SRPK1
283	APCDD1
284	NUDC
285	CFAP20
288	KARS
290	FAM187A
295	SLC9A1
296	LMX1B
301	HBEGF
303	TMEM222
308	CEP104
311	EFTUD2
314	RABEPK
316	CNGB1
319	TSPOAP1
320	TPRG1L
322	EPB41L1
325	SCAMP4
329	ELAC2
330	MAN1C1
331	RPL35
332	MTMR4
333	REXO1
338	SRPRA
339	ABHD11
341	DDA1
342	DRC7
350	TTC34
351	DCPS
355	MBD3
356	PSMB7
357	GOSR2
360	PFKFB2
364	FGFR3
367	UBXN6
369	AUTS2
370	FLI1
371	PHB
373	KCNJ1
376	RCC1L
377	C4BPA
380	KCNJ5
381	NCF1
382	DBR1
385	TMEM45B
386	EED
389	MSL2
391	PEX10
392	ENSGALT00000001863
393	SAMHD1
395	STX8
399	APLP2
401	ARHGEF37
