OrthologID	GeneSymbol(2019)	TAEGU_ENSEMBL_gID_rel67
5	AAK1	ENSTGUG00000003831
12	SPR	
15	GFPT1	ENSTGUG00000003894
16	NAT10	ENSTGUG00000005638
20	LRIF1	ENSTGUG00000001402
28	SNRPE	
30	CEPT1	
37	ISOC1	ENSTGUG00000000362
39	TMEM230	ENSTGUG00000004071
44	MTCH1	ENSTGUG00000000939
51	DCP2	ENSTGUG00000001035
53	SRP19	ENSTGUG00000001019
54	APC	ENSTGUG00000001015
56	TMEM183A	ENSTGUG00000001354
57	TMEM9	ENSTGUG00000001345
62	STARD4	ENSTGUG00000001003
64	WDR36	ENSTGUG00000000989
74	GnRH-I	ENSTGUG00000004367
76	HMBS	ENSTGUG00000000010
78	IGFN1	ENSTGUG00000001343
79	PCNX1	ENSTGUG00000011329
81	METTL22	ENSTGUG00000004596
82	SLC25A22	ENSTGUG00000009826
84	PIGV	ENSTGUG00000000996
88	TIMM44	ENSTGUG00000013849
89	DHRS7C	ENSTGUG00000007534
90	SLC37A2	ENSTGUG00000000750
91	FBXO43	ENSTGUG00000012050
93	STC1	ENSTGUG00000004536
98	HNRNPM	
99	SLC25A37	
102	DHDDS	ENSTGUG00000001032
105	ENTPD4	
107	METTL2A	ENSTGUG00000003112
108	IPO9	ENSTGUG00000001278
110	KCNC4	ENSTGUG00000000883
114	LSM7	ENSTGUG00000000067
115	TLK2	ENSTGUG00000003073
116	SLC16A4	ENSTGUG00000000891
122	SPPL2B	ENSTGUG00000000063
125	ENSGALT00000000601	
129	SUCO	ENSTGUG00000017265
133	ENSGALT00000000643	
138	ENSGALT00000000670	ENSTGUG00000015631
139	LONP1	ENSTGUG00000000038
141	PTGES3	ENSTGUG00000015628
142	PADI2	
144	SDHB	ENSTGUG00000016631
148	FANCA	ENSTGUG00000007970
149	UBXN11	ENSTGUG00000001039
152	SH3BGRL3	ENSTGUG00000001040
158	CEP85	ENSTGUG00000001041
161	MATN1	ENSTGUG00000000798
163	ETNK2	ENSTGUG00000017469
165	SDC3	ENSTGUG00000000806
171	PTPN7	ENSTGUG00000001206
174	NKAIN1	
175	GPR37L1	ENSTGUG00000001200
177	PPP1R15B	ENSTGUG00000017473
178	ELF3	ENSTGUG00000001196
183	KIF21B	ENSTGUG00000001174
189	MDM4	ENSTGUG00000017483
191	LRRN2	ENSTGUG00000017481
196	CNTN2	ENSTGUG00000017494
197	TMED6	ENSTGUG00000008088
198	TMEM81	
201	RBBP5	ENSTGUG00000017492
206	KLHDC8A	ENSTGUG00000017500
207	CDK18	ENSTGUG00000017502
210	MFSD4A	ENSTGUG00000017518
212	SLC45A3	
214	NUCKS1	ENSTGUG00000017515
216	SLC41A1	ENSTGUG00000017513
217	STX12	ENSTGUG00000000844
218	PM20D1	ENSTGUG00000017511
219	PPP1R8	ENSTGUG00000000851
223	RPA2	ENSTGUG00000000866
224	MATK	ENSTGUG00000000123
225	SMPDL3B	ENSTGUG00000000856
226	XKR8	ENSTGUG00000000870
234	CAPN5	ENSTGUG00000013052
235	TBC1D22B	ENSTGUG00000001592
239	PLA2G15	ENSTGUG00000006969
242	BRPF3	ENSTGUG00000001612
244	SMPD3	ENSTGUG00000006964
246	PIP5K1C	ENSTGUG00000000155
252	HSPE1	ENSTGUG00000010535
